rollno,study_hrs,health,tuition,source_fees,drop_year,campus_feedback,travel_time,family_type,annual_income,father_edu,mother_edu,father_occup,mother_occup,challenges_family,caste,mother_tongue,backlogs,ssc,hsc,medium,gender,course_id,backlog,attendance,test
12CO57,2,2,0,1,0,3,2,0,0,2,0,1,0,1,0,1,1,1,2,1,0,22,0,0,-1
12CO57,2,2,0,1,0,3,2,0,0,2,0,1,0,1,0,1,1,1,2,1,0,21,0,2,7
12CO57,2,2,0,1,0,3,2,0,0,2,0,1,0,1,0,1,1,1,2,1,0,19,1,3,10
12CO57,2,2,0,1,0,3,2,0,0,2,0,1,0,1,0,1,1,1,2,1,0,18,0,1,9
15DCO72,1,0,0,2,0,3,3,1,0,1,1,0,0,0,0,1,0,0,1,1,0,17,1,3,6
15DCO49,1,3,0,0,0,4,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,17,1,3,0
15DCO66,3,3,1,0,0,3,1,1,2,2,1,1,0,0,0,1,0,0,1,0,0,17,1,3,0
15DCO48,1,3,0,0,0,4,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,17,1,3,4
13CO36,1,3,1,0,1,3,0,0,1,2,1,0,0,0,0,0,3,2,2,0,0,17,1,3,0
14CO22,2,3,0,2,0,3,3,0,0,1,1,1,0,0,1,2,3,1,1,0,0,17,1,3,0
13CO50,2,3,0,0,0,3,0,0,0,1,0,1,0,0,0,1,4,1,2,0,0,17,1,3,5
14CO33,1,2,0,2,0,4,3,0,1,1,0,3,0,2,0,1,4,0,1,0,0,17,1,3,5
13CO39,1,3,0,2,1,4,2,0,2,2,0,1,0,0,0,0,5,0,2,0,0,17,1,3,0
14CO11,1,2,0,0,0,4,1,0,0,1,1,1,0,0,0,5,5,0,2,0,0,17,1,3,0
13CO17,2,3,0,0,0,5,2,0,1,1,1,1,0,0,0,1,7,1,2,0,0,17,1,3,0
14CO17,3,2,0,3,0,4,2,1,1,1,1,8,0,0,3,1,7,0,2,0,0,17,1,3,6
15DCO62,1,0,0,0,0,4,2,1,1,1,1,0,0,0,0,4,0,1,2,0,0,17,1,1,5
15DCO56,1,3,1,0,0,5,1,0,1,1,1,1,0,0,0,4,0,1,1,0,1,17,1,1,5
14CO29,3,3,0,0,0,4,3,0,0,2,1,0,0,0,4,2,2,0,1,1,0,17,1,1,6
13CO23,2,3,0,0,0,2,1,0,1,1,1,3,0,0,0,1,2,1,1,0,0,17,1,1,4
14DCO52,0,3,0,1,0,4,2,0,0,1,1,0,0,0,0,0,2,0,1,0,1,17,1,1,5
14CO25,1,3,0,2,0,4,2,0,1,1,0,0,0,2,0,1,3,0,1,0,0,17,1,1,5
12CO18,1,3,0,0,1,4,1,1,0,1,0,1,0,0,0,1,4,2,2,1,0,17,1,1,0
14CO07,2,3,0,2,0,4,2,0,0,1,3,1,0,0,0,1,5,0,2,1,1,17,1,1,5
12CO34,1,0,0,0,0,5,3,0,1,3,3,1,0,0,0,1,5,2,1,0,0,17,1,1,0
14CO12,3,3,0,0,0,4,2,0,1,1,2,1,0,0,0,4,6,0,1,0,1,17,1,1,6
15DCO61,1,0,0,2,0,4,1,0,1,3,2,0,1,0,0,1,0,0,1,0,0,17,1,0,4
12CO50,1,2,0,2,1,4,3,0,0,1,2,1,2,0,0,1,3,2,2,0,0,17,1,0,0
14CO05,1,3,0,3,0,4,2,0,0,1,1,6,0,3,0,1,5,0,1,1,1,17,1,0,6
15DCO70,1,2,0,2,0,3,1,0,1,1,1,0,0,0,0,0,0,2,2,0,0,17,1,2,5
15DCO54,1,3,0,0,0,3,2,0,0,3,0,1,0,0,0,1,0,1,1,0,0,17,1,2,7
15DCO78,1,0,0,2,0,4,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,17,1,2,7
15DCO53,1,0,0,2,0,5,2,0,2,1,1,1,0,0,0,0,0,1,1,0,1,17,1,2,0
15DCO60,1,3,0,0,0,5,0,0,5,3,3,0,0,0,0,0,0,1,0,0,1,17,1,2,10
15DCO47,1,3,0,2,0,5,1,0,3,2,1,1,0,0,0,1,0,1,0,0,1,17,1,2,0
14CO14,2,3,0,3,0,4,3,0,0,1,1,7,0,0,3,1,1,0,1,0,0,17,1,2,7
13CO44,2,0,0,0,0,4,1,1,1,0,0,1,0,0,0,0,2,0,2,0,0,17,1,2,5
14CO30,2,3,0,0,0,4,1,0,0,1,3,1,0,0,0,3,2,0,2,0,0,17,1,2,5
14CO21,2,3,0,2,0,4,0,0,1,3,1,0,0,0,0,1,2,0,1,0,0,17,1,2,6
14CO34,1,3,0,3,0,4,1,1,0,1,1,0,0,1,0,0,3,0,1,1,0,17,1,2,6
12CO51,1,3,0,0,1,3,2,0,4,3,3,0,1,0,0,1,3,0,1,0,0,17,1,2,0
13CO48,4,0,1,1,1,3,2,0,3,1,1,1,2,1,0,0,3,0,1,0,0,17,1,2,0
13CO04,5,2,0,0,0,4,3,0,0,1,1,1,0,0,1,2,3,1,1,0,1,17,1,2,4
14CO16,2,2,0,2,0,4,2,0,0,0,0,1,0,0,0,1,4,0,1,1,0,17,1,2,6
13CO19,1,2,0,0,0,2,2,0,0,1,1,0,0,0,0,3,4,0,1,0,0,17,1,2,0
12CO45,4,2,0,0,1,1,2,0,1,0,0,3,1,0,0,0,6,1,1,0,0,17,1,2,0
14CO47,1,2,0,0,0,4,1,0,1,1,1,0,0,0,0,1,7,1,1,1,0,17,1,2,4
14CO06,1,3,0,0,0,5,1,1,1,2,2,0,0,0,0,1,7,1,2,0,1,17,1,2,5
15DCO75,1,3,0,0,0,5,1,0,1,1,1,1,0,0,0,0,0,1,2,1,1,17,0,3,4
15DCO55,3,0,0,2,0,3,1,1,0,1,1,0,0,0,0,1,0,1,2,0,0,17,0,3,7
15DCO77,1,0,0,0,0,5,1,1,1,1,3,1,0,0,0,1,0,2,1,0,0,17,0,3,5
13CO38,1,2,0,0,0,4,3,2,1,1,0,0,0,0,0,1,0,1,1,0,0,17,0,3,4
14DCO66,1,1,0,3,0,4,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,17,0,3,6
15DCO57,1,0,0,2,0,4,1,1,2,1,1,8,0,0,0,1,0,1,0,0,0,17,0,3,6
15DCO65,1,0,0,0,0,4,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,17,0,3,10
13CO29,2,0,0,0,0,4,1,0,5,4,4,0,0,0,0,1,0,0,0,0,0,17,0,3,6
13CO32,1,0,0,0,0,3,1,1,1,2,1,0,0,0,0,1,2,1,2,0,0,17,0,3,4
14CO41,1,3,0,2,0,3,1,0,0,2,1,0,0,0,0,2,3,1,1,0,0,17,0,3,6
14CO04,2,0,0,0,0,4,2,0,2,1,1,1,0,0,0,0,4,0,2,1,1,17,0,3,7
14CO31,5,2,0,0,0,3,1,0,5,2,1,0,0,0,0,1,4,0,0,0,0,17,0,3,6
14CO43,1,3,0,0,0,4,0,0,4,3,3,0,0,0,0,0,6,0,2,0,0,17,0,3,0
14CO19,4,2,0,2,0,4,1,0,0,0,1,0,0,0,0,1,6,1,1,0,0,17,0,3,5
13CO46,2,2,0,0,0,4,1,0,1,1,1,0,0,0,0,1,6,2,0,0,0,17,0,3,4
15DCO52,2,3,0,2,0,5,2,0,2,1,1,1,0,0,0,1,0,0,1,1,1,17,0,2,6
13CO24,2,3,0,0,0,3,3,1,1,1,1,1,0,0,0,1,0,0,2,1,0,17,0,2,7
15DCO74,1,3,0,0,0,5,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,17,0,2,7
13CO53,1,2,0,0,0,3,3,0,5,1,1,0,0,0,0,2,0,0,1,1,0,17,0,2,9
13CO11,0,1,0,0,0,3,1,0,1,3,3,0,1,0,0,1,0,0,1,0,1,17,0,2,6
15DCO69,2,3,0,2,0,3,1,0,1,1,1,1,0,0,0,0,0,1,2,0,0,17,0,2,5
15DCO73,1,3,0,2,0,3,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,17,0,2,7
15DCO44,1,3,0,0,0,3,1,0,1,3,3,1,0,0,0,1,0,1,1,0,0,17,0,2,4
14CO28,2,2,0,0,0,2,1,0,4,3,3,10,0,0,3,1,0,0,1,0,0,17,0,2,4
13CO49,2,0,1,1,0,4,1,1,1,3,3,0,0,0,0,1,0,0,1,0,0,17,0,2,7
15DCO68,1,3,0,0,0,4,2,0,2,1,2,0,0,0,0,0,0,0,1,0,0,17,0,2,4
14CO49,2,0,0,1,0,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,17,0,2,9
15DCO76,1,0,1,2,0,4,2,0,1,2,3,1,0,0,0,1,0,0,0,0,0,17,0,2,4
13CO18,3,0,0,0,0,4,0,1,2,1,1,0,0,0,0,0,1,0,1,1,0,17,0,2,7
13CO10,1,3,0,2,0,4,3,0,1,1,1,1,0,0,0,4,1,1,2,0,1,17,0,2,6
13CO56,2,3,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,17,0,2,6
13CO60,2,3,0,0,0,2,0,1,2,1,1,1,0,0,0,0,1,0,1,0,0,17,0,2,4
13CO06,3,3,0,0,0,3,2,0,1,2,3,1,0,0,0,1,2,0,2,0,1,17,0,2,4
14CO35,2,3,0,0,0,3,0,0,1,2,1,1,0,0,0,0,3,0,1,0,0,17,0,2,9
14CO39,1,3,0,0,0,2,2,0,2,3,1,1,0,0,0,0,3,0,1,0,0,17,0,2,6
14DCO61,2,3,0,0,0,4,1,0,1,1,1,0,0,0,0,1,3,0,1,0,0,17,0,2,0
14CO36,1,3,0,2,0,4,0,0,2,0,0,1,0,0,0,0,4,0,2,1,0,17,0,2,7
14CO08,3,3,0,0,0,4,3,0,3,4,3,1,2,0,0,2,4,0,2,0,1,17,0,2,7
14DCO65,2,2,0,1,0,3,2,0,0,2,2,3,0,2,0,0,5,0,1,1,1,17,0,2,5
12CO06,1,2,0,0,1,3,0,0,4,3,1,2,0,0,2,0,5,0,2,0,1,17,0,2,6
14CO01,2,3,0,2,0,4,0,0,0,2,1,4,0,0,0,1,7,0,1,0,1,17,0,2,6
13CO12,0,3,0,1,0,4,2,1,0,1,1,0,0,0,0,1,0,0,2,1,1,17,0,1,4
15DCO46,1,3,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,17,0,1,8
13CO30,1,3,0,0,0,4,2,0,0,1,1,1,0,0,0,1,0,0,2,1,0,17,0,1,6
