rollno,course_id,risk_score
13CO09,CPC504,85
13CO78,CPC504,82
13CO49,CPL501,80.3333333333
11CO37,CPL501,80
13CO28,CPC504,80
12CO84,CPL501,79.6666666667
13CO28,CPL501,79.3333333333
13CO06,CPL501,78
13CO29,CPL501,76
12CO18,CPC504,76
13CO14,CPC504,76
12CO35,CPL501,75.1428571429
13CO55,CPC504,74.8
12CO19,CPL501,74.6857142857
13CO11,CPL501,74
12CO42,CPL501,74
11CO54,CPC504,74
13CO54,CPC504,74
14DCO56,CPC504,73.4
13CO29,CPC502,73.3333333333
13CO25,CPL501,72.5
14DCO53,CPL501,72.4
13CO30,CPL501,72
13CO52,CPL501,72
13CO11,CPC504,72
13CO32,CPC504,72
13CO44,CPC504,72
14DCO58,CPC504,72
12CO10,CPC504,72
13CO16,CPC504,72
13CO57,CPC504,72
13CO25,CPC504,72
13CO52,CPC504,72
12CO25,CPL501,71.4
13CO14,CPC502,71.3
13CO38,CPC504,70.4666666667
12CO51,CPL501,70
13CO56,CPL501,70
14DCO69,CPL501,70
12CO42,CPC504,70
13CO29,CPC504,70
13CO04,CPC504,70
13CO24,CPC504,70
13CO78,CPC502,70
13CO11,CPC502,68.8
13CO56,CPC504,68.6666666667
11CO54,CPL501,68
13CO78,CPL501,68
12CO18,CPL501,68
13CO54,CPL501,68
13CO06,CPC504,68
13CO54,CPC502,66.3333333333
12CO50,CPL501,66
13CO23,CPL501,66
13CO53,CPL501,66
12CO34,CPL501,66
13CO14,CPL501,66
13CO38,CPL501,66
12CO41,CPL501,66
13CO07,CPL501,66
13CO07,CPC504,66
13CO12,CPC504,65.3333333333
13CO57,CPL501,64
13CO34,CPL501,64
12CO33,CPC504,64
13CO30,CPC504,64
14DCO66,CPC504,64
13CO12,CPL501,63.3333333333
12CO25,CPC504,63.3333333333
13CO28,CPC502,63.3333333333
12CO10,CPL501,62.6666666667
12CO84,CPC502,62.2
13CO16,CPL501,62.0857142857
13CO19,CPL501,62
13CO32,CPL501,62
14DCO63,CPL501,62
13CO19,CPC504,62
13CO53,CPC504,62
14DCO53,CPC504,62
13CO22,CPC504,62
14DCO58,CPC502,62
14DCO53,CPC502,62
12CO34,CPC502,60.8333333333
14DCO61,CPL501,60.6666666667
12CO06,CPC504,60.6666666667
13CO25,CPC502,60.0277777778
13CO10,CPL501,60
13CO21,CPL501,60
13CO60,CPC504,60
13CO49,CPC504,60
13CO23,CPC504,60
13CO34,CPC504,60
13CO49,CPC503,60
